statusId | label
3|jump
statusId|sensorName|value|timestamp
3|Gravity Sensor|[1.3416648,1.4629376,8.709406]|1395667126053
3|Linear Acceleration Sensor|[0.8512113,-2.0077515,2.1868725]|1395667126053
3|K3DH Acceleration Sensor|[2.2882185,-0.42223078,10.869038]|1395667126064
3|Gravity Sensor|[1.4127554,1.4217547,8.750723]|1395667126064
3|Linear Acceleration Sensor|[0.8754631,-1.8439856,2.1183147]|1395667126063
3|K3DH Acceleration Sensor|[2.3699405,-0.40861043,10.923519]|1395667126074
3|Gravity Sensor|[1.4831945,1.3797736,8.797644]|1395667126073
3|Linear Acceleration Sensor|[0.88674605,-1.7883841,2.1258755]|1395667126073
3|K3DH Acceleration Sensor|[2.4108016,-0.47671217,10.787315]|1395667126084
3|Gravity Sensor|[1.5535682,1.3360931,8.85174]|1395667126084
3|Linear Acceleration Sensor|[0.8572334,-1.8128052,1.9355755]|1395667126084
3|K3DH Acceleration Sensor|[2.233737,-0.44947147,10.623871]|1395667126094
3|Gravity Sensor|[1.6230699,1.2911313,8.9114895]|1395667126094
3|Linear Acceleration Sensor|[0.6106671,-1.7406027,1.7123814]|1395667126094
3|K3DH Acceleration Sensor|[1.9885708,-0.38136974,10.446807]|1395667126105
3|Gravity Sensor|[1.6913967,1.244841,8.976406]|1395667126104
3|Linear Acceleration Sensor|[0.2971741,-1.6262107,1.4704008]|1395667126104
3|K3DH Acceleration Sensor|[1.7978859,-0.38136974,10.365085]|1395667126115
3|Gravity Sensor|[1.7581992,1.1972703,9.045805]|1395667126114
3|Linear Acceleration Sensor|[0.03968668,-1.57864,1.3192797]|1395667126115
3|K3DH Acceleration Sensor|[1.7025435,-0.46309182,10.256122]|1395667126125
3|Gravity Sensor|[1.8232487,1.148303,9.119329]|1395667126124
3|Linear Acceleration Sensor|[-0.12070525,-1.6113949,1.1367922]|1395667126125
3|K3DH Acceleration Sensor|[1.6889231,-0.6401563,10.160779]|1395667126136
3|Gravity Sensor|[1.8861856,1.0980471,9.196188]|1395667126135
3|Linear Acceleration Sensor|[-0.19726253,-1.7382035,0.964591]|1395667126135
3|K3DH Acceleration Sensor|[1.6344417,-0.7491191,9.956474]|1395667126145
3|Gravity Sensor|[1.9466872,1.0465627,9.275684]|1395667126145
3|Linear Acceleration Sensor|[-0.3122455,-1.7956817,0.68078995]|1395667126146
3|K3DH Acceleration Sensor|[1.525479,-0.5992953,9.861132]|1395667126155
3|Gravity Sensor|[2.0044456,0.9938827,9.357163]|1395667126155
3|Linear Acceleration Sensor|[-0.4789666,-1.593178,0.50396824]|1395667126156
3|K3DH Acceleration Sensor|[1.5799603,-0.40861043,9.833891]|1395667126166
3|Gravity Sensor|[2.059145,0.94011414,9.439846]|1395667126166
3|Linear Acceleration Sensor|[-0.47918463,-1.3487246,0.39404488]|1395667126166
3|K3DH Acceleration Sensor|[1.8659877,-0.6810174,9.765789]|1395667126176
3|Gravity Sensor|[2.110497,0.8853353,9.523015]|1395667126176
3|Linear Acceleration Sensor|[-0.24450934,-1.5663527,0.24277401]|1395667126176
3|K3DH Acceleration Sensor|[1.9749504,-0.9942854,9.765789]|1395667126187
3|Gravity Sensor|[2.158241,0.82963943,9.605958]|1395667126186
3|Linear Acceleration Sensor|[-0.1832906,-1.8239248,0.15983105]|1395667126186
3|K3DH Acceleration Sensor|[1.6753027,-0.9670447,9.847511]|1395667126197
3|Gravity Sensor|[2.202173,0.77321774,9.687881]|1395667126196
3|Linear Acceleration Sensor|[-0.52687025,-1.7402625,0.15962982]|1395667126196
3|K3DH Acceleration Sensor|[1.4709976,-0.8580819,9.861132]|1395667126207
3|Gravity Sensor|[2.2421055,0.71607053,9.768208]|1395667126206
3|Linear Acceleration Sensor|[-0.7711079,-1.5741525,0.09292412]|1395667126207
3|K3DH Acceleration Sensor|[1.253072,-0.7899802,9.929234]|1395667126216
3|Gravity Sensor|[2.278125,0.6588911,9.845899]|1395667126216
3|Linear Acceleration Sensor|[-1.025053,-1.4488713,0.08333492]|1395667126216
3|K3DH Acceleration Sensor|[1.0623871,-0.9670447,10.119919]|1395667126227
3|Gravity Sensor|[2.3096702,0.6006065,9.921117]|1395667126227
3|Linear Acceleration Sensor|[-1.2472831,-1.5676513,0.198802]|1395667126227
3|K3DH Acceleration Sensor|[0.7082581,-1.0215261,10.2152605]|1395667126237
3|Gravity Sensor|[2.3369026,0.54196054,9.992998]|1395667126237
3|Linear Acceleration Sensor|[-1.6286445,-1.5634866,0.22226238]|1395667126238
3|K3DH Acceleration Sensor|[0.58567494,-1.1032481,9.997335]|1395667126248
3|Gravity Sensor|[2.3596902,0.48300564,10.061127]|1395667126247
3|Linear Acceleration Sensor|[-1.7740152,-1.5862538,-0.063791275]|1395667126248
3|K3DH Acceleration Sensor|[0.89894295,-1.2803127,9.711308]|1395667126258
3|Gravity Sensor|[2.3780134,0.4239629,10.125131]|1395667126257
3|Linear Acceleration Sensor|[-1.4790704,-1.7042756,-0.41382313]|1395667126258
3|K3DH Acceleration Sensor|[1.2803127,-1.2803127,9.520623]|1395667126268
3|Gravity Sensor|[2.3917193,0.3648487,10.184726]|1395667126268
3|Linear Acceleration Sensor|[-1.1114067,-1.6451614,-0.66410255]|1395667126268
3|K3DH Acceleration Sensor|[1.4437568,-0.9942854,9.329938]|1395667126279
3|Gravity Sensor|[2.4007564,0.3057598,10.239671]|1395667126278
3|Linear Acceleration Sensor|[-0.95699954,-1.3000453,-0.9097328]|1395667126278
3|K3DH Acceleration Sensor|[1.4165162,-0.7491191,9.180115]|1395667126289
3|Gravity Sensor|[2.405094,0.24675575,10.289756]|1395667126288
3|Linear Acceleration Sensor|[-0.9885777,-0.9958749,-1.1096411]|1395667126288
3|K3DH Acceleration Sensor|[1.4437568,-0.6401563,9.030291]|1395667126298
3|Gravity Sensor|[2.4046714,0.1878303,10.334753]|1395667126298
3|Linear Acceleration Sensor|[-0.9609146,-0.8279866,-1.3044624]|1395667126299
3|K3DH Acceleration Sensor|[1.5935807,-0.92618364,8.771504]|1395667126309
3|Gravity Sensor|[2.3998818,0.12932493,10.374621]|1395667126309
3|Linear Acceleration Sensor|[-0.8063011,-1.0555086,-1.603117]|1395667126309
3|K3DH Acceleration Sensor|[1.525479,-1.0079057,8.676162]|1395667126319
3|Gravity Sensor|[2.3906896,0.07121278,10.409107]|1395667126319
3|Linear Acceleration Sensor|[-0.86521065,-1.0791185,-1.7329454]|1395667126319
3|K3DH Acceleration Sensor|[1.1441092,-0.84446156,8.730643]|1395667126329
3|Gravity Sensor|[2.3773668,0.013673626,10.438107]|1395667126330
3|Linear Acceleration Sensor|[-1.2332575,-0.85813516,-1.7074633]|1395667126329
3|K3DH Acceleration Sensor|[1.0623871,-1.0623871,8.60806]|1395667126339
3|Gravity Sensor|[2.3601437,-0.043165736,10.461482]|1395667126340
3|Linear Acceleration Sensor|[-1.2977566,-1.0192214,-1.8534222]|1395667126340
3|K3DH Acceleration Sensor|[0.92618364,-1.2803127,8.417375]|1395667126350
3|Gravity Sensor|[2.3393524,-0.099128045,10.479187]|1395667126349
3|Linear Acceleration Sensor|[-1.4131687,-1.1811846,-2.0618124]|1395667126350
3|K3DH Acceleration Sensor|[0.9942854,-1.4437568,8.281172]|1395667126360
3|Gravity Sensor|[2.3150928,-0.15418819,10.49099]|1395667126360
3|Linear Acceleration Sensor|[-1.3208075,-1.2895687,-2.209818]|1395667126360
3|K3DH Acceleration Sensor|[1.3484144,-1.5118586,8.049625]|1395667126370
3|Gravity Sensor|[2.2877028,-0.20820314,10.496904]|1395667126370
3|Linear Acceleration Sensor|[-0.9392884,-1.3036554,-2.447279]|1395667126370
3|K3DH Acceleration Sensor|[1.5799603,-1.5118586,7.8180795]|1395667126380
3|Gravity Sensor|[2.2574763,-0.26109064,10.496919]|1395667126381
3|Linear Acceleration Sensor|[-0.677516,-1.250768,-2.6788392]|1395667126380
3|K3DH Acceleration Sensor|[1.6480621,-1.607201,7.572913]|1395667126391
3|Gravity Sensor|[2.224672,-0.31282753,10.490963]|1395667126390
3|Linear Acceleration Sensor|[-0.57660997,-1.2943735,-2.9180498]|1395667126391
3|K3DH Acceleration Sensor|[1.7978859,-1.8659877,7.3413672]|1395667126401
3|Gravity Sensor|[2.1892292,-0.36360186,10.478466]|1395667126401
3|Linear Acceleration Sensor|[-0.39134336,-1.5023859,-3.1370988]|1395667126402
3|K3DH Acceleration Sensor|[1.7161638,-2.0294318,7.000859]|1395667126411
3|Gravity Sensor|[2.1523314,-0.41300493,10.460675]|1395667126412
3|Linear Acceleration Sensor|[-0.4361676,-1.616427,-3.4598165]|1395667126411
3|K3DH Acceleration Sensor|[1.6344417,-2.2473574,6.605869]|1395667126422
3|Gravity Sensor|[2.113913,-0.4613091,10.436852]|1395667126421
